lamda,n,k
400,1.476802,0.000336
407.1428571,1.475480707,0.000336
414.2857143,1.474264543,0.000336
421.4285714,1.473143417,0.000336
428.5714286,1.472108382,0.000336
435.7142857,1.471151038,0.000336
442.8571429,1.47026496,0.000336
450,1.469443,0.000336
457.1428571,1.468679175,0.000336
464.2857143,1.467969378,0.000336
471.4285714,1.467308605,0.000336
478.5714286,1.466693562,0.000336
485.7142857,1.466118912,0.000336
492.8571429,1.465582464,0.000336
500,1.46508,0.000336
507.1428571,1.464609957,0.000336
514.2857143,1.464168943,0.000336
521.4285714,1.463755847,0.000336
528.5714286,1.463367644,0.000336
535.7142857,1.463002887,0.000336
542.8571429,1.462659724,0.000336
550,1.462336,0.000336
557.1428571,1.462031087,0.000336
564.2857143,1.461743876,0.000336
571.4285714,1.461472192,0.000336
578.5714286,1.461215042,0.000336
585.7142857,1.460972436,0.000336
592.8571429,1.460742407,0.000336
600,1.460525,0.000336
607.1428571,1.460317935,0.000336
614.2857143,1.460122222,0.000336
621.4285714,1.459936172,0.000336
628.5714286,1.459759218,0.000336
635.7142857,1.459591597,0.000336
642.8571429,1.45943214,0.000336
650,1.45928,0.000336
657.1428571,1.459135216,0.000336
664.2857143,1.458996591,0.000336
671.4285714,1.458864784,0.000336
678.5714286,1.458739446,0.000336
685.7142857,1.458618845,0.000336
692.8571429,1.458504298,0.000336
700,1.458394,0.000336
707.1428571,1.458289885,0.000336
714.2857143,1.458188939,0.000336
721.4285714,1.458093014,0.000336
728.5714286,1.458000433,0.000336
735.7142857,1.457912424,0.000336
742.8571429,1.457827757,0.000336
750,1.457746,0.000336
